H NMR,,,,,
Hz,ppm,Int,,,
876.34,9.785,203,,,
874.51,9.765,396,,,
872.68,9.745,208,,,
224.85,2.511,107,,,
223.97,2.501,126,,,
223.02,2.491,113,,,
222.14,2.481,124,,,
217.02,2.424,305,,,
216.14,2.414,291,,,
215.7,2.409,214,,,
215.11,2.402,264,,,
210.42,2.35,228,,,
209.77,2.343,388,,,
209.18,2.336,304,,,
208.67,2.33,356,,,
207.93,2.322,233,,,
202.59,2.263,228,,,
201.78,2.254,275,,,
168.02,1.877,70,,,
161.5,1.804,137,,,
160.47,1.792,195,,,
154.54,1.726,166,,,
153.52,1.715,380,,,
152.56,1.704,249,,,
148.61,1.66,60,,,
147.51,1.648,134,,,
147,1.642,200,,,
146.56,1.637,263,,,
145.39,1.624,330,,,
140.92,1.574,64,,,
140.04,1.564,103,,,
138.65,1.549,237,,,
132.28,1.477,75,,,
131.76,1.472,107,,,
95,1.061,209,,,
94.26,1.053,480,,,
93.6,1.046,606,,,
93.02,1.039,318,,,
90.31,1.009,59,,,
88.92,0.993,100,,,
87.38,0.976,635,,,
86.72,0.969,1000,,,
86.13,0.962,639,,,
82.25,0.919,84,,,
80.57,0.9,153,,,
79.76,0.891,331,,,
79.1,0.884,335,,,
78,0.871,184,,,
