Wavenumber (1/cm),Transmittance
237.418,0.864
238.40268199445984,0.864
239.38736398891967,0.864
240.3720459833795,0.864
241.35672797783934,0.864
242.341413,0.864
243.32609499445982,0.865
244.31077698891966,0.866
245.2954589833795,0.868
246.28014097783932,0.869
247.264827,0.869
248.24950899445983,0.868
249.23419098891966,0.866
250.2188729833795,0.865
251.20355497783933,0.861
252.18824,0.861
253.17292199445984,0.864
254.15760398891967,0.866
255.1422859833795,0.868
256.12696797783934,0.869
257.111654,0.869
258.0963359944598,0.87
259.08101798891965,0.87
260.0656999833795,0.872
261.0503819778393,0.872
262.035067,0.873
263.01974899445986,0.873
264.0044309889197,0.875
264.9891129833795,0.875
265.97379497783936,0.876
266.95848,0.876
267.94316199445984,0.876
268.9278439889197,0.876
269.9125259833795,0.876
270.89720797783934,0.876
271.881894,0.875
272.8665759944598,0.875
273.85125798891966,0.873
274.8359399833795,0.873
275.8206219778393,0.873
276.805307,0.873
277.78998899445986,0.873
278.7746709889197,0.875
279.75935298337953,0.875
280.74403497783936,0.876
281.728721,0.876
282.71340299445984,0.877
283.6980849889197,0.877
284.6827669833795,0.877
285.66744897783934,0.877
286.652134,0.879
287.6368159944598,0.879
288.62149798891966,0.879
289.6061799833795,0.879
290.5908619778393,0.88
291.575547,0.881
292.5602289944598,0.881
293.54491098891964,0.881
294.5295929833795,0.88
295.5142749778393,0.879
296.498961,0.879
297.48364299445984,0.876
298.4683249889197,0.875
299.4530069833795,0.873
300.43768897783934,0.872
301.422374,0.87
302.4070559944598,0.87
303.39173798891966,0.869
304.3764199833795,0.868
305.3611019778393,0.868
306.345788,0.868
307.33046999445986,0.869
308.3151519889197,0.87
309.29983398337953,0.87
310.28451597783936,0.872
311.269201,0.879
312.25388299445984,0.885
313.2385649889197,0.892
314.2232469833795,0.895
315.20792897783934,0.903
316.192615,0.907
317.1772969944598,0.911
318.16197898891966,0.912
319.1466609833795,0.912
320.1313429778393,0.913
321.116028,0.913
322.1007099944598,0.915
323.08539198891964,0.915
324.0700739833795,0.915
325.0547559778393,0.916
326.039441,0.916
327.02412299445984,0.916
328.0088049889197,0.916
328.9934869833795,0.916
329.97816897783935,0.916
330.962855,0.916
331.9475369944598,0.916
332.93221898891966,0.916
333.9169009833795,0.915
334.9015829778393,0.915
335.886268,0.915
336.8709499944598,0.916
337.85563198891964,0.916
338.8403139833795,0.916
339.8249959778393,0.916
340.809682,0.916
341.79436399445984,0.916
342.7790459889197,0.916
343.7637279833795,0.916
344.74840997783934,0.915
345.733095,0.915
346.7177769944598,0.915
347.70245898891966,0.915
348.6871409833795,0.913
349.6718229778393,0.913
350.656508,0.913
351.6411899944598,0.913
352.62587198891964,0.915
353.6105539833795,0.915
354.5952359778393,0.913
355.579922,0.913
356.56460399445984,0.915
357.5492859889197,0.915
358.5339679833795,0.916
359.51864997783935,0.916
360.503335,0.915
361.4880169944598,0.915
362.47269898891966,0.915
363.4573809833795,0.913
364.4420629778393,0.915
365.426749,0.915
366.4114309944598,0.916
367.39611298891964,0.916
368.3807949833795,0.915
369.3654769778393,0.915
370.350162,0.915
371.33484399445985,0.913
372.3195259889197,0.915
373.3042079833795,0.915
374.28888997783935,0.918
375.273575,0.918
376.2582569944598,0.915
377.24293898891966,0.913
378.2276209833795,0.912
379.21230297783933,0.911
380.196989,0.907
381.1816709944598,0.904
382.16635298891964,0.899
383.1510349833795,0.896
384.1357169778393,0.895
385.120402,0.895
386.10508399445985,0.895
387.0897659889197,0.893
388.0744479833795,0.891
389.05912997783935,0.889
390.043816,0.884
391.0284979944598,0.883
392.01317998891966,0.879
392.9978619833795,0.876
393.9825439778393,0.873
394.967229,0.865
395.9519109944598,0.854
396.93659298891964,0.846
397.9212749833795,0.834
398.9059569778393,0.821
399.890642,0.807
400.87532399445985,0.7631
401.8600059889197,0.6634
402.8446879833795,0.654
403.82936997783935,0.6411
404.814056,0.627
405.7987379944598,0.625
406.78341998891966,0.626
407.7681019833795,0.642
408.75278397783933,0.658
409.737469,0.674
410.7221509944598,0.689
411.70683298891964,0.7348
412.6915149833795,0.7798
413.6761969778393,0.8188
414.660883,0.837
415.64556499445985,0.848
416.6302469889197,0.853
417.6149289833795,0.854
418.59961097783935,0.856
419.584296,0.857
420.56897799445983,0.858
421.55365998891966,0.86
422.5383419833795,0.861
423.52302397783933,0.864
424.507709,0.864
425.4923909944598,0.865
426.47707298891964,0.865
427.4617549833795,0.866
428.4464369778393,0.866
429.431123,0.868
430.41580499445985,0.868
431.4004869889197,0.868
432.3851689833795,0.868
433.36985097783935,0.866
434.354536,0.866
435.33921799445983,0.865
436.32389998891966,0.865
437.3085819833795,0.864
438.29326397783933,0.862
439.27795,0.861
440.2626319944598,0.86
441.24731398891964,0.856
442.2319959833795,0.852
443.2166779778393,0.849
444.201363,0.848
445.18604499445985,0.845
446.1707269889197,0.842
447.1554089833795,0.842
448.14009097783935,0.841
449.124777,0.838
450.1094589944598,0.83
451.09414098891966,0.825
452.0788229833795,0.821
453.06350497783933,0.819
454.04819,0.815
455.0328719944598,0.814
456.01755398891964,0.813
457.0022359833795,0.813
457.9869179778393,0.813
458.971603,0.814
459.95628499445985,0.817
460.9409669889197,0.817
461.9256489833795,0.815
462.91033097783935,0.814
463.895017,0.813
464.87969899445983,0.806
465.86438098891966,0.801
466.8490629833795,0.798
467.83374497783933,0.794
468.81843,0.79
469.8031119944598,0.78
470.78779398891965,0.7631
471.7724759833795,0.7501
472.7571579778393,0.745
473.741844,0.743
474.72652599445985,0.693
475.7112079889197,0.68
476.6958899833795,0.665
477.68057197783935,0.647
478.665257,0.6151
479.64993899445983,0.5941
480.63462098891966,0.5751
481.6193029833795,0.5412
482.60398497783933,0.5131
483.58867,0.465
484.5733519944598,0.45
485.55803398891965,0.436
486.5427159833795,0.435
487.5273979778393,0.436
488.512084,0.447
489.49676599445985,0.4709
490.4814479889197,0.4949
491.4661299833795,0.5288
492.45081197783935,0.5489
493.435497,0.572
494.42017899445983,0.591
495.40486098891967,0.604
496.3895429833795,0.633
497.37422497783933,0.643
498.358911,0.659
499.3435929944598,0.6809
500.32827498891965,0.6969
501.3129569833795,0.7129
502.2976389778393,0.716
503.282324,0.724
504.26700599445985,0.735
505.2516879889197,0.741
506.2363699833795,0.751
507.22105197783935,0.76
508.205737,0.763
509.19041899445983,0.767
510.17510098891967,0.776
511.1597829833795,0.78
512.1444649778393,0.786
513.129151,0.787
514.1138329944598,0.788
515.0985149889196,0.794
516.0831969833795,0.797
517.0678789778393,0.798
518.052564,0.798
519.0372459944598,0.799
520.0219279889196,0.802
521.0066099833795,0.803
521.9912919778393,0.811
522.975978,0.813
523.9606599944599,0.815
524.9453419889197,0.817
525.9300239833796,0.818
526.9147059778394,0.818
527.899391,0.819
528.8840729944599,0.821
529.8687549889197,0.821
530.8534369833795,0.822
531.8381189778394,0.823
532.822804,0.823
533.8074859944599,0.823
534.7921679889197,0.823
535.7768499833795,0.825
536.7615319778394,0.825
537.746218,0.825
538.7308999944598,0.825
539.7155819889197,0.826
540.7002639833795,0.827
541.6849459778393,0.827
542.669631,0.827
543.6543129944598,0.827
544.6389949889196,0.826
545.6236769833795,0.827
546.6083589778393,0.827
547.593045,0.827
548.5777269944598,0.829
549.5624089889196,0.829
550.5470909833795,0.829
551.5317729778393,0.83
552.516458,0.831
553.5011399944598,0.831
554.4858219889196,0.833
555.4705039833794,0.834
556.4551859778393,0.834
557.439872,0.836
558.4245539944599,0.837
559.4092359889197,0.84
560.3939179833795,0.841
561.3785999778394,0.842
562.363285,0.844
563.3479669944599,0.844
564.3326489889197,0.845
565.3173309833795,0.844
566.3020129778394,0.845
567.286698,0.845
568.2713799944598,0.845
569.2560619889197,0.845
570.2407439833795,0.845
571.2254259778393,0.846
572.210112,0.846
573.1947939944598,0.846
574.1794759889196,0.846
575.1641579833795,0.845
576.1488399778393,0.846
577.133525,0.846
578.1182069944598,0.846
579.1028889889196,0.846
580.0875709833795,0.848
581.0722529778393,0.846
582.056939,0.848
583.0416209944599,0.848
584.0263029889197,0.848
585.0109849833796,0.848
585.9956669778394,0.849
586.980352,0.852
587.9650339944599,0.852
588.9497159889197,0.853
589.9343979833795,0.853
590.9190799778394,0.854
591.903765,0.854
592.8884469944599,0.854
593.8731289889197,0.856
594.8578109833795,0.856
595.8424929778394,0.856
596.827179,0.857
597.8118609944598,0.857
598.7965429889197,0.857
599.7812249833795,0.858
600.7659069778393,0.858
601.750592,0.858
602.7352739944598,0.858
603.7199559889197,0.857
604.7046379833795,0.858
605.6893199778393,0.858
606.674006,0.858
607.6586879944598,0.86
608.6433699889196,0.86
609.6280519833795,0.86
610.6127339778393,0.861
611.597419,0.862
612.5821009944598,0.862
613.5667829889196,0.864
614.5514649833794,0.865
615.5361469778393,0.865
616.520832,0.866
617.5055139944599,0.866
618.4901959889197,0.868
619.4748779833795,0.868
620.4595599778394,0.868
621.444246,0.868
622.4289279944599,0.866
623.4136099889197,0.866
624.3982919833795,0.865
625.3829739778394,0.865
626.367659,0.862
627.3523409944598,0.861
628.3370229889197,0.86
629.3217049833795,0.857
630.3063869778393,0.852
631.291073,0.845
632.2757549944598,0.841
633.2604369889197,0.837
634.2451189833795,0.833
635.2298009778393,0.826
636.214486,0.819
637.1991679944598,0.807
638.1838499889196,0.803
639.1685319833795,0.798
640.1532139778393,0.7861
641.137899,0.771
642.1225809944598,0.759
643.1072629889196,0.75
644.0919449833794,0.733
645.0766269778393,0.731
646.061313,0.724
647.0459949944599,0.719
648.0306769889197,0.717
649.0153589833795,0.717
650.0000409778394,0.72
650.984726,0.725
651.9694079944599,0.731
652.9540899889197,0.745
653.9387719833795,0.752
654.9234539778394,0.766
655.90814,0.8139
656.8928219944598,0.822
657.8775039889197,0.831
658.8621859833795,0.833
659.8468679778393,0.834
660.831553,0.837
661.8162349944598,0.846
662.8009169889197,0.857
663.7855989833795,0.862
664.7702809778393,0.864
665.754966,0.864
666.7396479944598,0.872
667.7243299889196,0.876
668.7090119833795,0.877
669.6936939778393,0.879
670.67838,0.879
671.6630619944598,0.879
672.6477439889196,0.879
673.6324259833794,0.879
674.6171079778393,0.879
675.601793,0.88
676.5864749944599,0.88
677.5711569889197,0.883
678.5558389833795,0.883
679.5405209778394,0.884
680.525207,0.885
681.5098889944599,0.885
682.4945709889197,0.885
683.4792529833795,0.885
684.4639349778394,0.887
685.44862,0.887
686.4333019944598,0.888
687.4179839889197,0.888
688.4026659833795,0.888
689.3873479778393,0.889
690.372034,0.891
691.3567159944598,0.892
692.3413979889197,0.893
693.3260799833795,0.895
694.3107619778393,0.896
695.295447,0.896
696.2801289944598,0.897
697.2648109889196,0.897
698.2494929833795,0.897
699.2341749778393,0.897
700.21886,0.897
701.2035419944598,0.897
702.1882239889196,0.896
703.1729059833795,0.896
704.1575879778393,0.896
705.142274,0.896
706.1269559944599,0.895
707.1116379889197,0.895
708.0963199833795,0.893
709.0810019778394,0.893
710.065687,0.888
711.0503689944599,0.884
712.0350509889197,0.883
713.0197329833795,0.881
714.0044149778394,0.881
714.989101,0.88
715.9737829944598,0.879
716.9584649889197,0.879
717.9431469833795,0.877
718.9278289778393,0.877
719.912514,0.876
720.8971959944598,0.875
721.8818779889197,0.87
722.8665599833795,0.866
723.8512419778393,0.865
724.835927,0.862
725.8206089944598,0.861
726.8052909889196,0.86
727.7899729833795,0.858
728.7746549778393,0.857
729.759341,0.846
730.7440229944598,0.836
731.7287049889196,0.827
732.7133869833795,0.822
733.6980689778393,0.811
734.682754,0.797
735.6674359944599,0.787
736.6521179889197,0.7641
737.6367999833795,0.754
738.6214819778394,0.7391
739.606168,0.684
740.5908499944599,0.591
741.5755319889197,0.556
742.5602139833795,0.534
743.5448959778394,0.514
744.529581,0.4941
745.5142629944598,0.4731
746.4989449889197,0.473
747.4836269833795,0.5168
748.4683089778393,0.5558
749.452994,0.594
750.4376759944598,0.661
751.4223579889197,0.694
752.4070399833795,0.715
753.3917219778393,0.735
754.376408,0.751
755.3610899944598,0.7679
