Wavenumber (1/cm),Transmittance
384.615,0.946
385.9336874757658,0.946
387.2523749515316,0.946
388.57106242729736,0.946
389.88974990306315,0.946
391.208432,0.946
392.5271194757658,0.946
393.8458069515316,0.946
395.16449442729737,0.946
396.48318190306316,0.946
397.801864,0.946
399.1205514757658,0.946
400.4392389515316,0.944
401.7579264272974,0.944
403.07661390306316,0.944
404.395295,0.944
405.71398247576576,0.944
407.03266995153155,0.944
408.35135742729733,0.944
409.6700449030631,0.944
410.988727,0.942
412.30741447576577,0.94
413.62610195153155,0.94
414.94478942729734,0.938
416.2634769030631,0.938
417.582159,0.934
418.9008464757658,0.934
420.21953395153156,0.934
421.53822142729734,0.932
422.85690890306313,0.932
424.175591,0.932
425.4942784757658,0.932
426.81296595153157,0.932
428.13165342729735,0.932
429.45034090306314,0.932
430.769023,0.934
432.0877104757658,0.934
433.4063979515316,0.934
434.72508542729736,0.934
436.04377290306314,0.936
437.362454,0.936
438.6811414757658,0.936
439.9998289515316,0.936
441.31851642729737,0.936
442.63720390306315,0.938
443.955886,0.94
445.2745734757658,0.942
446.5932609515316,0.942
447.9119484272974,0.942
449.23063590306316,0.942
450.549318,0.942
451.8680054757658,0.942
453.1866929515316,0.942
454.5053804272974,0.944
455.82406790306317,0.942
457.14275,0.942
458.46143747576576,0.942
459.78012495153155,0.942
461.09881242729733,0.942
462.4174999030631,0.944
463.736182,0.944
465.05486947576577,0.944
466.37355695153155,0.944
467.69224442729734,0.944
469.0109319030631,0.944
470.329614,0.944
471.6483014757658,0.942
472.96698895153156,0.942
474.28567642729735,0.942
475.60436390306313,0.942
476.923045,0.942
478.2417324757658,0.942
479.56041995153157,0.942
480.87910742729736,0.942
482.19779490306314,0.942
483.516477,0.942
484.8351644757658,0.942
486.1538519515316,0.942
487.47253942729736,0.94
488.79122690306315,0.94
490.109909,0.94
491.4285964757658,0.938
492.7472839515316,0.936
494.06597142729737,0.936
495.38465890306315,0.936
496.703341,0.936
498.0220284757658,0.936
499.3407159515316,0.936
500.6594034272974,0.934
501.97809090306316,0.934
503.296773,0.934
504.61546047576576,0.932
505.93414795153154,0.932
507.2528354272973,0.932
508.5715229030631,0.932
509.890204,0.934
511.20889147576577,0.934
512.5275789515316,0.934
513.8462664272975,0.934
515.1649539030633,0.934
516.483636,0.934
517.8023234757659,0.934
519.1210109515317,0.934
520.4396984272976,0.934
521.7583859030634,0.932
523.077068,0.932
524.3957554757659,0.934
525.7144429515317,0.934
527.0331304272976,0.934
528.3518179030634,0.936
529.6705,0.936
530.9891874757658,0.936
532.3078749515316,0.936
533.6265624272975,0.938
534.9452499030633,0.94
536.263932,0.94
537.5826194757658,0.94
538.9013069515316,0.94
540.2199944272975,0.94
541.5386819030633,0.942
542.857363,0.942
544.1760504757658,0.942
545.4947379515316,0.942
546.8134254272975,0.942
548.1321129030633,0.942
549.450795,0.942
550.7694824757658,0.942
552.0881699515317,0.942
553.4068574272975,0.942
554.7255449030633,0.942
556.044227,0.942
557.3629144757658,0.942
558.6816019515317,0.94
560.0002894272975,0.94
561.3189769030633,0.94
562.637659,0.94
563.9563464757658,0.94
