Wavenumber (1/cm),Transmittance
684.857,0.93
686.0218832219487,0.8101
687.1867664438973,0.7441
688.351649665846,0.6772
689.5165328877947,0.6082
690.681412,0.5383
691.8462952219487,0.53
693.0111784438974,0.53
694.1760616658461,0.6144
695.3409448877948,0.6715
696.505823,0.688
697.6707062219486,0.694
698.8355894438973,0.72
700.000472665846,0.7599
701.1653558877947,0.7949
702.330235,0.803
703.4951182219487,0.8
704.6600014438974,0.7891
705.8248846658461,0.788
706.9897678877948,0.784
708.154647,0.79
709.3195302219486,0.8
710.4844134438973,0.8499
711.649296665846,0.852
712.8141798877947,0.8899
713.979059,0.902
715.1439422219487,0.9209
716.3088254438974,0.9379
717.4737086658461,0.9569
718.6385918877947,0.9759
719.80347,0.989
720.9683532219486,0.995
722.1332364438973,1.006
723.298119665846,1.006
724.4630028877947,0.999
725.627882,0.999
726.7927652219487,1.004
727.9576484438974,1.009
729.122531665846,1.012
730.2874148877947,1.015
731.452294,1.017
732.6171772219487,1.018
733.7820604438974,1.019
734.9469436658461,1.02
736.1118268877948,1.02
737.276705,1.018
738.4415882219487,1.014
739.6064714438974,0.9971
740.771354665846,0.9881
741.9362378877947,0.9751
743.101117,0.964
744.2660002219487,0.943
745.4308834438974,0.934
746.5957666658461,0.911
747.7606498877948,0.8911
748.925529,0.877
750.0904122219487,0.8382
751.2552954438974,0.7992
752.420178665846,0.7672
753.5850618877947,0.7382
754.749941,0.717
755.9148242219487,0.695
757.0797074438974,0.67
758.2445906658461,0.657
759.4094738877948,0.651
760.574352,0.645
761.7392352219487,0.6221
762.9041184438973,0.5961
764.069001665846,0.5394
765.2338848877947,0.4983
766.398764,0.457
767.5636472219487,0.38
768.7285304438974,0.2661
769.8934136658461,0.266
771.0582968877948,0.3328
772.223176,0.3997
773.3880592219487,0.4627
774.5529424438973,0.4908
775.717825665846,0.5069
776.8827088877947,0.5139
778.047587,0.523
779.2124702219487,0.537
780.3773534438974,0.552
781.5422366658461,0.561
782.7071198877948,0.577
783.871999,0.584
785.0368822219486,0.6198
786.2017654438973,0.6598
787.366648665846,0.6858
788.5315318877947,0.7039
789.696411,0.741
790.8612942219487,0.775
792.0261774438974,0.803
793.1910606658461,0.8579
794.3559438877948,0.868
795.520823,0.8889
796.6857062219486,0.9109
797.8505894438973,0.9239
799.015472665846,0.93
800.1803558877947,0.9568
801.345234,0.969
802.5101172219487,0.972
803.6750004438974,0.978
804.8398836658461,0.98
806.0047668877947,0.984
807.169646,0.986
808.3345292219486,0.988
809.4994124438973,0.989
810.664295665846,0.99
811.8291788877947,0.99
812.994058,0.991
814.1589412219487,0.991
815.3238244438974,0.992
816.488707665846,0.992
817.6535908877947,0.993
818.818469,0.993
819.9833522219487,0.993
821.1482354438974,0.994
822.3131186658461,0.994
823.4780018877948,0.994
824.642881,0.994
825.8077642219487,0.994
826.9726474438974,0.994
828.137530665846,0.995
829.3024138877947,0.995
830.467293,0.995
831.6321762219487,0.996
832.7970594438974,0.996
833.9619426658461,0.996
835.1268258877948,0.996
836.291705,0.996
837.4565882219487,0.997
838.6214714438973,0.997
839.786354665846,0.997
840.9512378877947,0.996
842.116116,0.996
843.2809992219487,0.996
844.4458824438974,0.996
845.6107656658461,0.994
846.7756488877948,0.993
847.940528,0.993
849.1054112219487,0.99
850.2702944438973,0.988
851.435177665846,0.986
852.6000608877947,0.983
853.76494,0.98
854.9298232219487,0.978
856.0947064438974,0.975
857.2595896658461,0.97
858.4244728877948,0.969
859.589351,0.967
860.7542342219486,0.963
861.9191174438973,0.96
863.084000665846,0.959
864.2488838877947,0.957
865.413763,0.954
866.5786462219487,0.953
867.7435294438974,0.951
868.9084126658461,0.947
870.0732958877948,0.943
871.238175,0.938
872.4030582219486,0.922
873.5679414438973,0.912
874.732824665846,0.904
875.8977078877947,0.897
877.062587,0.897
878.2274702219487,0.9119
879.3923534438974,0.92
880.5572366658461,0.9339
881.7221198877947,0.9439
882.886998,0.946
884.0518812219486,0.947
885.2167644438973,0.947
886.381647665846,0.945
887.5465308877947,0.944
888.71141,0.944
889.8762932219487,0.942
891.0411764438974,0.941
892.206059665846,0.94
893.3709428877947,0.939
894.535822,0.937
895.7007052219487,0.936
896.8655884438974,0.935
898.0304716658461,0.935
899.1953548877948,0.935
900.360233,0.935
901.5251162219487,0.937
902.6899994438974,0.938
903.854882665846,0.938
905.0197658877947,0.937
906.184645,0.937
907.3495282219487,0.937
908.5144114438974,0.938
909.6792946658461,0.939
910.8441778877948,0.942
912.009057,0.945
913.1739402219487,0.946
914.3388234438974,0.947
915.503706665846,0.949
916.6685898877947,0.954
917.833469,0.96
918.9983522219487,0.966
920.1632354438974,0.972
921.3281186658461,0.976
922.4930018877948,0.982
923.65788,0.985
924.8227632219487,0.988
925.9876464438973,0.989
927.152529665846,0.99
928.3174128877947,0.99
929.482292,0.99
930.6471752219487,0.99
931.8120584438974,0.99
932.9769416658461,0.99
934.1418248877948,0.99
935.306704,0.989
936.4715872219487,0.989
937.6364704438973,0.989
938.801353665846,0.988
939.9662368877947,0.988
941.131115,0.987
942.2959982219487,0.987
943.4608814438974,0.986
944.6257646658461,0.985
945.7906478877948,0.985
946.955527,0.985
948.1204102219486,0.984
949.2852934438973,0.984
950.450176665846,0.983
951.6150598877947,0.981
952.779939,0.98
953.9448222219487,0.98
955.1097054438974,0.98
956.2745886658461,0.979
957.4394718877948,0.979
958.604351,0.978
959.7692342219486,0.978
960.9341174438973,0.977
962.099000665846,0.977
963.2638838877947,0.976
964.428762,0.976
965.5936452219487,0.975
966.7585284438974,0.974
967.9234116658461,0.973
969.0882948877947,0.972
970.253174,0.97
971.4180572219486,0.969
972.5829404438973,0.969
973.747823665846,0.969
974.9127068877947,0.969
976.077586,0.969
977.2424692219487,0.968
978.4073524438974,0.968
979.572235665846,0.967
980.7371188877947,0.966
981.901997,0.964
983.0668802219487,0.963
984.2317634438974,0.962
985.3966466658461,0.96
986.5615298877948,0.96
987.726409,0.959
988.8912922219487,0.957
990.0561754438974,0.956
991.221058665846,0.953
992.3859418877947,0.952
993.550821,0.95
994.7157042219487,0.949
995.8805874438974,0.947
997.0454706658461,0.946
998.2103538877948,0.945
999.375233,0.944
1000.5401162219487,0.942
1001.7049994438973,0.94
1002.869882665846,0.938
1004.0347658877947,0.938
1005.199644,0.937
1006.3645272219487,0.936
1007.5294104438974,0.936
1008.6942936658461,0.936
1009.8591768877948,0.936
1011.024056,0.936
1012.1889392219487,0.937
1013.3538224438973,0.938
1014.518705665846,0.939
1015.6835888877947,0.94
1016.848468,0.941
1018.0133512219487,0.942
1019.1782344438974,0.943
1020.3431176658461,0.943
1021.5080008877948,0.944
1022.672879,0.945
1023.8377622219487,0.946
1025.0026454438973,0.948
1026.167528665846,0.95
1027.3324118877947,0.95
1028.497291,0.95
1029.6621742219486,0.951
1030.8270574438973,0.951
1031.991940665846,0.941
1033.1568238877946,0.9291
1034.321703,0.917
1035.4865862219488,0.908
1036.6514694438974,0.908
1037.8163526658461,0.916
1038.9812358877948,0.923
1040.146115,0.931
1041.3109982219487,0.931
1042.4758814438974,0.926
1043.640764665846,0.92
1044.8056478877947,0.917
1045.970526,0.913
1047.1354092219487,0.909
1048.3002924438974,0.905
1049.4651756658461,0.903
1050.6300588877948,0.901
1051.794938,0.9
1052.9598212219487,0.898
1054.1247044438974,0.897
1055.289587665846,0.896
1056.4544708877947,0.895
1057.61935,0.894
1058.7842332219486,0.894
1059.9491164438973,0.894
