Wavenumber (1/cm),Transmittance
407.855,0.001
408.74297929936307,0.0
409.6309585987261,0.0
410.5189378980892,0.0
411.40691719745223,0.0
412.294895,0.0
413.18287429936305,0.0
414.0708535987261,0.0
414.95883289808916,0.0
415.8468121974522,0.0
416.73479,0.0
417.62276929936303,0.0
418.5107485987261,0.0
419.39872789808913,0.0
420.2867071974522,0.0
421.174686,0.0
422.06266529936306,0.0
422.9506445987261,0.0
423.83862389808917,0.0
424.7266031974522,0.0
425.614581,0.0
426.50256029936304,0.0
427.3905395987261,0.0
428.27851889808915,0.0
429.1664981974522,0.0
430.054476,0.0
430.9424552993631,0.0
431.83043459872613,0.001
432.7184138980892,0.001
433.60639319745223,0.001
434.494371,0.001
435.38235029936305,0.001
436.2703295987261,0.001
437.15830889808916,0.001
438.0462881974522,0.001
438.934266,0.001
439.82224529936303,0.001
440.7102245987261,0.001
441.59820389808914,0.001
442.4861831974522,0.001
443.374162,0.001
444.26214129936307,0.001
445.1501205987261,0.001
446.0380998980892,0.001
446.9260791974522,0.001
447.814057,0.001
448.70203629936304,0.001
449.5900155987261,0.001
450.47799489808915,0.002
451.3659741974522,0.002
452.253952,0.001
453.1419312993631,0.001
454.02991059872613,0.001
454.9178898980892,0.0
455.80586919745224,0.0
456.693847,0.0
457.58182629936306,0.0
458.4698055987261,0.0
459.35778489808916,0.0
460.2457641974522,0.0
461.133742,0.0
462.02172129936304,0.0
462.9097005987261,0.0
463.79767989808914,0.0
464.6856591974522,0.0
465.573638,0.0
466.46161729936307,0.0
467.3495965987261,0.0
468.2375758980892,0.001
469.12555519745223,0.001
470.013533,0.001
470.90151229936305,0.001
471.7894915987261,0.001
472.67747089808915,0.002
473.5654501974522,0.002
474.453428,0.002
475.341407299363,0.002
476.2293865987261,0.002
477.11736589808913,0.002
478.0053451974522,0.002
478.893323,0.002
479.78130229936306,0.002
480.6692815987261,0.002
481.55726089808917,0.002
482.4452401974522,0.002
483.333219,0.002
484.22119829936304,0.002
485.1091775987261,0.002
485.99715689808914,0.002
486.8851361974522,0.002
487.773114,0.002
488.6610932993631,0.002
489.5490725987261,0.002
490.4370518980892,0.002
491.32503119745223,0.002
492.213009,0.001
493.10098829936305,0.001
493.9889675987261,0.001
494.87694689808916,0.001
495.7649261974522,0.001
496.652904,0.001
497.54088329936303,0.001
498.4288625987261,0.001
499.31684189808914,0.001
500.2048211974522,0.001
501.092799,0.001
501.98077829936307,0.001
502.8687575987261,0.002
503.7567368980892,0.002
504.6447161974522,0.002
505.532695,0.002
506.42067429936304,0.002
507.3086535987261,0.002
508.19663289808915,0.004
509.0846121974522,0.004
509.97259,0.004
510.8605692993631,0.004
511.74854859872613,0.004
512.6365278980892,0.004
513.5245071974523,0.004
514.412485,0.005
515.3004642993631,0.005
516.1884435987262,0.005
517.0764228980893,0.005
517.9644021974524,0.005
518.85238,0.005
519.7403592993631,0.005
520.6283385987263,0.006
521.5163178980894,0.006
522.4042971974525,0.006
523.292275,0.008
524.1802542993631,0.008
525.0682335987262,0.009
525.9562128980893,0.011
526.8441921974525,0.012
527.732171,0.013
528.6201502993631,0.015
529.5081295987262,0.016
530.3961088980893,0.018
531.2840881974524,0.019
532.172066,0.019
533.0600452993631,0.02
533.9480245987262,0.022
534.8360038980893,0.022
535.7239831974524,0.023
536.611961,0.025
537.4999402993631,0.025
538.3879195987262,0.026
539.2758988980893,0.027
540.1638781974524,0.027
541.051856,0.029
541.9398352993632,0.029
542.8278145987263,0.03
543.7157938980894,0.031
544.6037731974525,0.033
545.491751,0.034
546.3797302993631,0.036
547.2677095987262,0.038
548.1556888980894,0.041
549.0436681974525,0.041
549.931647,0.044
550.8196262993631,0.045
551.7076055987262,0.048
552.5955848980893,0.051
553.4835641974524,0.052
554.371542,0.054
555.2595212993631,0.058
556.1475005987262,0.061
557.0354798980893,0.068
557.9234591974524,0.072
558.811437,0.075
559.6994162993631,0.076
560.5873955987262,0.079
561.4753748980893,0.079
562.3633541974524,0.081
563.251332,0.083
564.1393112993632,0.086
565.0272905987263,0.087
565.9152698980894,0.088
566.8032491974525,0.091
567.691227,0.098
568.5792062993631,0.112
569.4671855987262,0.115
570.3551648980894,0.119
571.2431441974525,0.122
572.131123,0.126
573.0191022993631,0.13
573.9070815987262,0.134
574.7950608980893,0.138
575.6830401974524,0.141
576.571018,0.144
577.4589972993631,0.148
578.3469765987262,0.152
579.2349558980893,0.156
580.1229351974524,0.161
581.010913,0.165
581.8988922993631,0.169
582.7868715987262,0.175
583.6748508980893,0.176
584.5628301974524,0.1879
585.450808,0.193
586.3387872993632,0.193
587.2267665987263,0.197
588.1147458980894,0.198
589.0027251974525,0.206
589.890703,0.212
590.7786822993631,0.218
591.6666615987263,0.219
592.5546408980894,0.22
593.4426201974525,0.223
594.330599,0.225
595.2185782993631,0.244
596.1065575987262,0.248
596.9945368980893,0.252
597.8825161974524,0.259
598.770494,0.268
599.6584732993631,0.277
600.5464525987262,0.279
601.4344318980893,0.284
602.3224111974524,0.286
603.210389,0.293
604.0983682993631,0.301
604.9863475987262,0.306
605.8743268980893,0.309
606.7623061974524,0.313
607.650284,0.316
608.5382632993632,0.322
609.4262425987263,0.329
610.3142218980894,0.337
611.2022011974525,0.343
612.090179,0.352
612.9781582993631,0.355
613.8661375987263,0.361
614.7541168980894,0.37
615.6420961974525,0.375
616.530075,0.38
617.4180542993631,0.383
618.3060335987262,0.386
619.1940128980893,0.3979
620.0819921974525,0.4149
620.96997,0.42
621.8579492993631,0.423
622.7459285987262,0.423
623.6339078980893,0.427
624.5218871974524,0.434
625.409865,0.441
626.2978442993631,0.447
627.1858235987262,0.45
628.0738028980893,0.454
628.9617821974524,0.461
629.84976,0.469
630.737739299363,0.476
631.6257185987262,0.481
632.5136978980893,0.488
633.4016771974524,0.494
634.289656,0.501
635.1776352993631,0.508
636.0656145987263,0.513
636.9535938980894,0.519
637.8415731974525,0.523
638.729551,0.525
639.6175302993631,0.527
640.5055095987262,0.534
641.3934888980893,0.541
642.2814681974525,0.547
643.169446,0.552
644.0574252993631,0.555
644.9454045987262,0.561
645.8333838980893,0.569
646.7213631974524,0.576
647.609341,0.58
648.4973202993631,0.59
649.3852995987262,0.6
650.2732788980893,0.605
651.1612581974524,0.609
652.049236,0.612
652.9372152993631,0.618
653.8251945987262,0.62
654.7131738980893,0.625
655.6011531974524,0.63
656.489132,0.634
657.3771112993632,0.636
658.2650905987263,0.64
659.1530698980894,0.641
660.0410491974525,0.645
660.929027,0.655
661.8170062993631,0.661
662.7049855987262,0.665
663.5929648980893,0.668
664.4809441974525,0.672
665.368922,0.677
666.2569012993631,0.683
667.1448805987262,0.69
668.0328598980893,0.693
668.9208391974524,0.698
669.808817,0.704
670.6967962993631,0.709
671.5847755987262,0.712
672.4727548980893,0.715
673.3607341974524,0.718
674.248712,0.723
675.1366912993631,0.729
676.0246705987262,0.731
676.9126498980893,0.737
677.8006291974524,0.741
678.688608,0.741
679.5765872993632,0.747
680.4645665987263,0.756
681.3525458980894,0.758
682.2405251974525,0.761
683.128503,0.765
684.0164822993631,0.769
684.9044615987262,0.773
685.7924408980894,0.776
686.6804201974525,0.777
687.568398,0.781
688.4563772993631,0.783
689.3443565987262,0.788
690.2323358980893,0.793
691.1203151974524,0.795
692.008293,0.797
692.8962722993631,0.798
693.7842515987262,0.801
694.6722308980893,0.804
695.5602101974524,0.805
696.448188,0.808
697.3361672993631,0.812
698.2241465987262,0.815
699.1121258980893,0.816
700.0001051974524,0.823
700.888084,0.825
701.7760632993632,0.826
702.6640425987263,0.826
703.5520218980894,0.827
704.4400011974525,0.83
705.327979,0.834
706.2159582993631,0.84
707.1039375987262,0.844
707.9919168980894,0.844
708.8798961974525,0.845
709.767874,0.85
710.6558532993631,0.854
711.5438325987262,0.856
712.4318118980893,0.856
713.3197911974524,0.858
714.207769,0.859
715.0957482993631,0.861
715.9837275987262,0.862
716.8717068980893,0.865
717.7596861974524,0.868
718.647664,0.869
719.5356432993631,0.87
720.4236225987262,0.872
721.3116018980893,0.875
722.1995811974524,0.876
723.08756,0.879
723.9755392993632,0.881
724.8635185987263,0.883
725.7514978980894,0.886
726.6394771974525,0.89
727.527455,0.891
728.4154342993631,0.893
729.3034135987263,0.897
730.1913928980894,0.897
731.0793721974525,0.898
731.96735,0.898
732.8553292993631,0.9
733.7433085987262,0.9
734.6312878980893,0.901
735.5192671974525,0.901
736.407245,0.904
737.2952242993631,0.905
738.1832035987262,0.906
739.0711828980893,0.906
739.9591621974524,0.908
740.84714,0.908
741.7351192993631,0.908
742.6230985987262,0.908
743.5110778980893,0.909
744.3990571974524,0.909
745.287036,0.911
746.175015299363,0.912
747.0629945987262,0.912
747.9509738980893,0.913
748.8389531974524,0.915
749.726931,0.916
750.6149102993631,0.922
751.5028895987263,0.926
752.3908688980894,0.927
753.2788481974525,0.929
754.166826,0.93
755.0548052993631,0.93
755.9427845987262,0.934
756.8307638980893,0.937
757.7187431974525,0.938
758.606721,0.941
759.4947002993631,0.943
760.3826795987262,0.945
761.2706588980893,0.947
762.1586381974524,0.947
763.046617,0.948
763.9345962993631,0.95
764.8225755987262,0.951
765.7105548980893,0.952
766.5985341974524,0.954
767.486512,0.955
768.3744912993631,0.956
769.2624705987262,0.956
770.1504498980893,0.956
771.0384291974524,0.958
771.926407,0.958
772.8143862993632,0.958
773.7023655987263,0.958
774.5903448980894,0.959
775.4783241974525,0.959
776.366302,0.959
777.2542812993631,0.959
778.1422605987262,0.961
779.0302398980893,0.963
779.9182191974525,0.965
780.806197,0.965
781.6941762993631,0.966
782.5821555987262,0.966
783.4701348980893,0.968
784.3581141974524,0.968
785.246093,0.968
786.1340722993631,0.969
787.0220515987262,0.969
787.9100308980893,0.97
788.7980101974524,0.972
789.685988,0.973
790.5739672993631,0.975
791.4619465987262,0.975
792.3499258980893,0.976
793.2379051974524,0.976
794.125883,0.977
795.0138622993632,0.977
795.9018415987263,0.977
796.7898208980894,0.977
797.6778001974525,0.977
798.565778,0.977
799.4537572993631,0.977
800.3417365987262,0.977
801.2297158980894,0.979
802.1176951974525,0.979
803.005673,0.98
803.8936522993631,0.98
804.7816315987262,0.979
805.6696108980893,0.979
806.5575901974524,0.979
807.445569,0.979
808.3335482993631,0.977
809.2215275987262,0.977
810.1095068980893,0.977
810.9974861974524,0.976
811.885464,0.976
812.7734432993631,0.976
813.6614225987262,0.975
814.5494018980893,0.975
815.4373811974524,0.975
816.325359,0.973
817.2133382993632,0.973
818.1013175987263,0.973
818.9892968980894,0.972
819.8772761974525,0.972
820.765254,0.972
821.6532332993631,0.97
822.5412125987262,0.97
823.4291918980894,0.97
824.3171711974525,0.97
825.205149,0.969
826.0931282993631,0.969
826.9811075987262,0.969
827.8690868980893,0.969
828.7570661974524,0.969
829.645045,0.969
830.5330242993631,0.97
831.4210035987262,0.97
832.3089828980893,0.972
833.1969621974524,0.972
834.08494,0.972
834.9729192993631,0.972
835.8608985987262,0.972
836.7488778980893,0.973
837.6368571974524,0.973
838.524835,0.973
839.4128142993632,0.975
840.3007935987263,0.976
841.1887728980894,0.977
842.0767521974525,0.977
842.96473,0.979
843.8527092993631,0.979
844.7406885987263,0.979
845.6286678980894,0.979
846.5166471974525,0.979
847.404625,0.98
848.2926042993631,0.981
849.1805835987262,0.981
850.0685628980893,0.981
850.9565421974524,0.983
851.844521,0.983
852.7325002993631,0.983
853.6204795987262,0.983
854.5084588980893,0.983
855.3964381974524,0.983
856.284416,0.981
857.1723952993631,0.981
858.0603745987262,0.981
858.9483538980893,0.98
859.8363331974524,0.98
860.724311,0.98
861.612290299363,0.981
862.5002695987262,0.983
863.3882488980893,0.983
864.2762281974524,0.981
865.164206,0.981
866.0521852993631,0.98
866.9401645987263,0.98
867.8281438980894,0.98
868.7161231974525,0.979
869.604101,0.979
870.4920802993631,0.979
871.3800595987262,0.979
872.2680388980893,0.979
873.1560181974525,0.98
874.043997,0.981
874.9319762993631,0.983
875.8199555987262,0.983
876.7079348980893,0.983
877.5959141974524,0.981
878.483892,0.981
879.3718712993631,0.981
880.2598505987262,0.983
881.1478298980893,0.983
882.0358091974524,0.983
882.923787,0.983
883.8117662993631,0.984
884.6997455987262,0.986
885.5877248980893,0.987
886.4757041974524,0.988
887.363682,0.99
888.2516612993631,0.99
889.1396405987263,0.991
890.0276198980894,0.993
890.9155991974525,0.994
891.803577,0.995
892.6915562993631,0.997
893.5795355987262,0.998
894.4675148980893,0.998
895.3554941974525,1.0
896.243473,1.0
897.1314522993631,1.0
898.0194315987262,0.998
898.9074108980893,0.997
899.7953901974524,0.995
900.683368,0.994
901.5713472993631,0.993
902.4593265987262,0.991
903.3473058980893,0.99
904.2352851974524,0.988
905.123263,0.987
906.0112422993631,0.986
906.8992215987262,0.984
907.7872008980893,0.983
908.6751801974524,0.983
909.563158,0.981
910.4511372993632,0.981
911.3391165987263,0.98
912.2270958980894,0.979
913.1150751974525,0.977
914.003054,0.976
914.8910332993631,0.976
915.7790125987262,0.975
916.6669918980893,0.973
917.5549711974525,0.972
918.442949,0.97
919.3309282993631,0.969
920.2189075987262,0.966
921.1068868980893,0.965
921.9948661974524,0.963
922.882844,0.962
923.7708232993631,0.959
924.6588025987262,0.956
925.5467818980893,0.954
926.4347611974524,0.952
927.322739,0.948
928.2107182993631,0.944
929.0986975987262,0.943
929.9866768980893,0.941
930.8746561974524,0.941
931.762634,0.94
932.6506132993632,0.94
933.5385925987263,0.941
934.4265718980894,0.941
935.3145511974525,0.943
936.20253,0.947
937.0905092993631,0.951
937.9784885987262,0.952
938.8664678980894,0.954
939.7544471974525,0.959
940.642425,0.965
941.5304042993631,0.966
942.4183835987262,0.969
943.3063628980893,0.973
944.1943421974524,0.979
945.08232,0.98
945.9702992993631,0.981
946.8582785987262,0.984
947.7462578980893,0.986
948.6342371974524,0.988
949.522215,0.988
950.4101942993631,0.99
951.2981735987262,0.99
952.1861528980893,0.991
953.0741321974524,0.991
953.96211,0.991
954.8500892993632,0.993
955.7380685987263,0.993
956.6260478980894,0.991
957.5140271974525,0.991
958.402006,0.991
959.2899852993631,0.99
960.1779645987262,0.988
961.0659438980894,0.987
961.9539231974525,0.986
962.841901,0.984
