Wavenumber (1/cm),Transmittance
0.991,0.856
0.9962018587360595,0.856
1.0014037174721189,0.856
1.0066055762081783,0.856
1.0118074349442376,0.857
1.01702,0.857
1.0222218587360594,0.857
1.0274237174721188,0.857
1.0326255762081782,0.857
1.0378274349442376,0.857
1.043,0.857
1.0482018587360593,0.857
1.0534037174721187,0.857
1.058605576208178,0.857
1.0638074349442375,0.857
1.06902,0.857
1.0742218587360595,0.857
1.0794237174721188,0.857
1.0846255762081782,0.857
1.0898274349442376,0.857
1.095,0.857
1.1002018587360594,0.857
1.1054037174721187,0.857
1.1106055762081781,0.857
1.1158074349442375,0.858
1.12102,0.858
1.1262218587360593,0.858
1.1314237174721187,0.859
1.136625576208178,0.859
1.1418274349442374,0.86
1.147,0.86
1.1522018587360594,0.861
1.1574037174721188,0.861
1.1626055762081782,0.861
1.1678074349442376,0.861
1.17302,0.861
1.1782218587360593,0.861
1.1834237174721187,0.862
1.188625576208178,0.863
1.1938274349442375,0.863
1.199,0.863
1.2042018587360594,0.863
1.2094037174721188,0.863
1.2146055762081782,0.864
1.2198074349442376,0.865
1.22502,0.865
1.2302218587360594,0.866
1.2354237174721188,0.866
1.2406255762081781,0.867
1.2458274349442375,0.867
1.251,0.867
1.2562018587360593,0.867
1.2614037174721187,0.868
1.266605576208178,0.868
1.2718074349442374,0.868
1.27702,0.868
1.2822218587360594,0.868
1.2874237174721188,0.868
1.2926255762081782,0.869
1.2978274349442376,0.868
1.303,0.869
1.3082018587360593,0.869
1.3134037174721187,0.869
1.318605576208178,0.87
1.3238074349442375,0.87
1.32902,0.87
1.3342218587360595,0.87
1.3394237174721189,0.87
1.3446255762081782,0.87
1.3498274349442376,0.87
1.355,0.87
1.3602018587360594,0.87
1.3654037174721187,0.87
1.3706055762081781,0.87
1.3758074349442375,0.87
1.38102,0.87
1.3862218587360593,0.87
1.3914237174721187,0.87
1.396625576208178,0.87
1.4018274349442374,0.87
1.407,0.87
1.4122018587360594,0.87
1.4174037174721188,0.87
1.4226055762081782,0.87
1.4278074349442376,0.87
1.43302,0.87
1.4382218587360593,0.869
1.4434237174721187,0.869
1.4486255762081781,0.869
1.4538274349442375,0.868
1.459,0.868
1.4642018587360595,0.868
1.4694037174721188,0.867
1.4746055762081782,0.866
1.4798074349442376,0.865
1.48502,0.863
1.4902218587360594,0.86
1.4954237174721188,0.857
1.5006255762081782,0.854
1.5058274349442375,0.851
1.511,0.849
1.5162018587360593,0.845
1.5214037174721187,0.843
1.526605576208178,0.843
1.5318074349442374,0.844
1.53702,0.846
1.5422218587360594,0.849
1.5474237174721188,0.851
1.5526255762081782,0.852
1.5578274349442376,0.852
1.563,0.852
1.5682018587360593,0.852
1.5734037174721187,0.852
1.578605576208178,0.854
1.5838074349442375,0.855
1.58902,0.858
1.5942218587360595,0.86
1.5994237174721189,0.862
1.6046255762081783,0.862
1.6098274349442376,0.863
1.615,0.863
1.6202018587360594,0.863
1.6254037174721188,0.863
1.6306055762081781,0.864
1.6358074349442375,0.865
1.64102,0.865
1.6462218587360593,0.866
1.6514237174721187,0.867
1.656625576208178,0.868
1.6618274349442375,0.869
1.667,0.869
1.6722018587360594,0.87
1.6774037174721188,0.87
1.6826055762081782,0.871
1.6878074349442376,0.871
1.69302,0.871
1.6982218587360594,0.871
1.7034237174721187,0.871
1.7086255762081781,0.871
1.7138274349442375,0.871
1.719,0.871
1.7242018587360595,0.871
1.7294037174721189,0.871
1.7346055762081782,0.872
1.7398074349442376,0.872
1.74502,0.872
1.7502218587360594,0.872
1.7554237174721188,0.872
1.7606255762081782,0.872
1.7658274349442376,0.872
1.771,0.873
1.7762018587360593,0.873
1.7814037174721187,0.873
1.786605576208178,0.873
1.7918074349442374,0.873
1.79702,0.873
1.8022218587360594,0.873
1.8074237174721188,0.873
1.8126255762081782,0.873
1.8178274349442376,0.873
1.823,0.873
1.8282018587360593,0.873
1.8334037174721187,0.874
1.838605576208178,0.874
1.8438074349442375,0.874
1.84902,0.874
1.8542218587360595,0.874
1.8594237174721189,0.874
1.8646255762081783,0.874
1.8698274349442376,0.874
1.875,0.874
1.8802018587360594,0.874
1.8854037174721188,0.874
1.8906055762081782,0.874
1.8958074349442375,0.874
1.90102,0.874
1.9062218587360593,0.874
1.9114237174721187,0.874
1.916625576208178,0.874
1.9218274349442375,0.874
1.927,0.874
1.9322018587360594,0.874
1.9374037174721188,0.874
1.9426055762081782,0.874
1.9478074349442376,0.874
1.95302,0.874
1.9582218587360594,0.874
1.9634237174721187,0.874
1.9686255762081781,0.874
1.9738274349442375,0.874
1.979,0.874
1.9842018587360595,0.874
